time,left_arm,right_arm,left_leg,right_leg
2019-07-28 17:25:17,0.8378,0.959,1.0547,1.0894
2019-07-28 17:25:14,2.5239,1.2981,0.902,0.897
2019-07-28 17:25:13,0.996,0.8753,1.0323,0.9522
2019-07-28 17:25:12,1.3636,1.2862,1.8159,3.4641
2019-07-28 17:25:11,1.1934,0.9519,0.9494,1.0056
2019-07-28 17:25:10,0.9644,1.0605,0.9663,0.9657
2019-07-28 17:25:07,0.9627,1.0611,0.9801,0.9488
2019-07-28 17:25:06,2.1076,0.7162,0.9709,0.9035
2019-07-28 17:25:05,0.9043,1.0747,0.9892,0.994
2019-07-28 17:25:04,2.0857,1.377,0.9659,0.7903
2019-07-28 17:25:03,0.8668,1.0823,0.9836,0.9339
2019-07-28 17:24:58,1.0474,0.7803,2.8672,1.2175
2019-07-28 17:24:56,1.0471,1.0637,0.9692,0.9536
2019-07-28 17:24:55,1.034,0.9745,0.9607,0.9405
2019-07-28 17:24:54,1.0067,0.9886,0.9521,0.962
2019-07-28 17:24:53,1.0498,0.8458,0.975,0.9261
2019-07-28 17:24:48,1.0602,1.0196,0.9805,0.9639
2019-07-28 17:24:47,0.9779,0.9445,0.9814,0.9144
2019-07-28 17:24:45,0.9694,0.948,0.977,0.9793
2019-07-28 17:24:43,0.9954,0.9401,1.0017,0.9964
2019-07-28 17:24:42,0.9866,0.9673,0.9764,1.04
2019-07-28 17:24:39,0.9869,0.9397,0.9735,1.003
2019-07-28 17:24:36,1.0437,0.9562,1.0025,0.9656
2019-07-28 17:24:33,0.9893,0.9883,0.9789,1.0455
2019-07-28 17:24:32,1.0048,0.9622,0.976,1.0424
2019-07-28 17:24:30,1.0088,0.9864,0.976,1.0362
2019-07-28 17:24:29,1.0089,0.9897,0.9731,1.0395
2019-07-28 17:24:28,1.0366,0.9708,0.9756,1.0296
2019-07-28 17:24:27,0.914,0.9467,0.9901,1.012
